Ticket	Actual EPS	Bloomberg Estimated EPS	Announcement Date	start_date	end_date
FLS	0.32	0.43	2017-07-27	2017-02-03	2018-01-18
FLT	1.42	1.965	2017-08-03	2017-02-10	2018-01-25
FMC	0.56	0.474	2017-08-01	2017-02-08	2018-01-23
FNB	0.22	0.23	2017-07-20	2017-01-27	2018-01-10
FNF	1.092251	0.72	2017-07-19	2017-01-26	2018-01-09
FOX	0.46	0.49	2017-02-06	2016-08-15	2017-07-28
FOXA	0.46	0.49	2017-02-06	2016-08-15	2017-07-28
FRC	1.1	1.086	2017-07-14	2017-01-23	2018-01-04
FRT	1.05	0.791	2017-08-02	2017-02-09	2018-01-24
FSLR	0.5	0.035	2017-07-27	2017-02-03	2018-01-18
FTNT	0.13	0.198	2017-07-26	2017-02-02	2018-01-17
FTV	0.69	0.694	2017-07-27	2017-02-03	2018-01-18
FWONA	-1.054172	-0.025	2017-08-09	2017-02-16	2018-01-31
G	0.36	0.355	2017-08-02	2017-02-09	2018-01-24
GD	2.5	2.422	2017-07-26	2017-02-02	2018-01-17
GDDY	0.2	0.328	2017-08-08	2017-02-15	2018-01-30
GE	0.1	0.251	2017-07-21	2017-01-30	2018-01-11
GGG	0.16	0.355	2017-07-26	2017-02-02	2018-01-17
GILD	2.35	2.141	2017-07-26	2017-02-02	2018-01-17
GIS	0.82	0.862	2016-12-20	2016-06-30	2017-06-14
GLPI	0.46	0.455	2017-07-31	2017-02-07	2018-01-22
GLW	0.46	0.403	2017-07-26	2017-02-02	2018-01-17
GM	1.11	1.696	2017-07-25	2017-02-01	2018-01-16
GNTX	0.31	0.317	2017-07-21	2017-01-30	2018-01-11
GOOGL	5.09	10.407	2017-07-24	2017-01-31	2018-01-12
GPC	1.29	1.313	2017-07-20	2017-01-27	2018-01-10
GPK	0.14	0.146	2017-07-25	2017-02-01	2018-01-16
GPN	0.44	0.92	2017-08-03	2017-02-10	2018-01-25
GPS	0.31	0.586	2016-08-18	2016-02-29	2017-02-09
GRA	0.64	0.798	2017-07-27	2017-02-03	2018-01-18
GRMN	0.94	0.809	2017-08-02	2017-02-09	2018-01-24
GRUB	0.17	0.257	2017-08-03	2017-02-10	2018-01-25
GS	4	3.427	2017-07-18	2017-01-25	2018-01-08
GT	0.58	0.71	2017-07-28	2017-02-06	2018-01-19
GWR	0.75	0.726	2017-08-01	2017-02-08	2018-01-23
GWRE	0.05	0.142	2017-03-02	2016-09-08	2017-08-22
GWW	1.68	2.646	2017-07-19	2017-01-26	2018-01-09
H	0.82	0.349	2017-08-03	2017-02-10	2018-01-25
HAIN	0.26	0.566	2017-06-22	2016-12-29	2017-12-12
HAL	0.03	0.18	2017-07-24	2017-01-31	2018-01-12
HAS	0.54	0.454	2017-07-24	2017-01-31	2018-01-12
HBAN	0.23	0.232	2017-07-21	2017-01-30	2018-01-11
HBI	0.47	0.529	2017-08-01	2017-02-08	2018-01-23
HCA	1.79	1.803	2017-07-25	2017-02-01	2018-01-16
HCP	0.04	0.157	2017-08-01	2017-02-08	2018-01-23
HD	1.98	1.968	2016-08-16	2016-02-25	2017-02-07
HDS	0.49	0.875	2016-09-07	2016-03-17	2017-03-01
HE	0.36	0.393	2017-08-03	2017-02-10	2018-01-25
HEI	0.3456	0.323	2017-05-23	2016-11-29	2017-11-10
HES	-1.46	-1.295	2017-07-26	2017-02-02	2018-01-17
HFC	0.33	0.469	2017-08-02	2017-02-09	2018-01-24
HGV	0.51	0.453	2017-08-02	2017-02-09	2018-01-24
HHC	0.08	0.777	2017-08-07	2017-02-14	2018-01-29
HIG	-0.11	0.943	2017-07-27	2017-02-03	2018-01-18
HII	3.22	2.667	2017-08-03	2017-02-10	2018-01-25
HIW	0.37	0.303	2017-07-25	2017-02-01	2018-01-16
HLF	0.845	0.557	2017-08-01	2017-02-08	2018-01-23
HLT	0.46	0.499	2017-07-26	2017-02-02	2018-01-17
HOG	1.48	1.383	2017-07-18	2017-01-25	2018-01-08
HOLX	1.88	0.461	2017-05-10	2016-11-15	2017-10-30
HON	1.82	1.778	2017-07-21	2017-01-30	2018-01-11
HP	-0.45	-0.407	2017-04-27	2016-11-02	2017-10-17
HPE	-0.37	0.352	2017-05-31	2016-12-06	2017-11-17
HPP	0.02	0.032	2017-08-03	2017-02-10	2018-01-25
HPQ	0.33	0.389	2017-05-24	2016-11-30	2017-11-13
HPT	0.37	0.35	2017-08-09	2017-02-16	2018-01-31
HRB	-0.68	-0.675	2016-12-07	2016-06-17	2017-06-01
HRC	0.52	0.788	2017-04-28	2016-11-03	2017-10-18
HRL	0.4	0.399	2017-05-25	2016-12-01	2017-11-14
HRS	1.42	1.379	2017-02-02	2016-08-11	2017-07-26
HSIC	0.43	0.872	2017-08-08	2017-02-15	2018-01-30
HST	0.28	0.29	2017-07-26	2017-02-02	2018-01-17
HSY	0.955018	0.896	2017-07-26	2017-02-02	2018-01-17
HTA	-0.03	0.105	2017-07-31	2017-02-07	2018-01-22
HUBB	1.44	1.403	2017-07-25	2017-02-01	2018-01-16
HUM	4.49	3.068	2017-08-02	2017-02-09	2018-01-24
HUN	0.7	0.649	2017-07-27	2017-02-03	2018-01-18
HXL	0.68	0.689	2017-07-24	2017-01-31	2018-01-12
IAC	0.84	0.652	2017-08-02	2017-02-09	2018-01-24
IART	0.14	0.447	2017-07-26	2017-02-02	2018-01-17
IBKR	0.33	0.37	2017-07-18	2017-01-25	2018-01-08
IBM	2.49	2.744	2017-07-18	2017-01-25	2018-01-08
ICE	0.71	0.756	2017-08-03	2017-02-10	2018-01-25
ICUI	-1.87	0.767	2017-08-09	2017-02-16	2018-01-31
IDXX	0.97	0.848	2017-08-01	2017-02-08	2018-01-23
