Ticket	Actual EPS	Bloomberg Estimated EPS	Announcement Date	start_date	end_date
VIRT	0.01	0.167	2017-08-08	2017-02-15	2018-01-30
VLO	1.23	1.444	2017-07-27	2017-02-03	2018-01-18
VMC	0.91	1.201	2017-08-02	2017-02-09	2018-01-24
VMI	2.03	1.952	2017-07-19	2017-01-26	2018-01-09
VNO	0.61	0.466	2017-07-31	2017-02-07	2018-01-22
VRSK	0.73	0.769	2017-08-01	2017-02-08	2018-01-23
VRSN	1.22	0.993	2017-07-27	2017-02-03	2018-01-18
VRTX	0.07	0.353	2017-07-26	2017-02-02	2018-01-17
VSM	0.41	0.43	2017-05-02	2016-11-07	2017-10-20
VST	-0.06	0.06	2017-08-04	2017-02-13	2018-01-26
VTR	0.43	0.448	2017-07-28	2017-02-06	2018-01-19
VVV	0.35	0.333	2017-04-25	2016-10-31	2017-10-13
VZ	1.07	0.96	2017-07-27	2017-02-03	2018-01-18
W	-0.45	-0.462	2017-08-08	2017-02-15	2018-01-30
WAB	0.75	0.939	2017-07-25	2017-02-01	2018-01-16
WAL	0.77	0.726	2017-07-20	2017-01-27	2018-01-10
WAT	1.65	1.709	2017-07-25	2017-02-01	2018-01-16
WBA	0.98	1.359	2017-04-05	2016-10-12	2017-09-26
WBC	1.62	1.536	2017-07-20	2017-01-27	2018-01-10
WBS	0.65	0.605	2017-07-21	2017-01-30	2018-01-11
WBT	0.22	0.183	2017-08-09	2017-02-16	2018-01-31
WCC	1.03	0.974	2017-07-27	2017-02-03	2018-01-18
WCG	1.67	2.238	2017-08-04	2017-02-13	2018-01-26
WDAY	-0.55	-0.02	2016-08-24	2016-03-04	2017-02-15
WDC	0.82	2.124	2017-01-25	2016-08-03	2017-07-18
WEC	0.63	0.584	2017-07-26	2017-02-02	2018-01-17
WELL	0.51	0.455	2017-07-28	2017-02-06	2018-01-19
WEN	-0.01	0.131	2017-08-09	2017-02-16	2018-01-31
WEX	0.4	1.245	2017-07-27	2017-02-03	2018-01-18
WFC	1.09	1.009	2017-07-14	2017-01-23	2018-01-04
WFT	-0.17	-0.284	2017-07-28	2017-02-06	2018-01-19
WHR	2.55	3.536	2017-07-26	2017-02-02	2018-01-17
WLK	1.18	1.237	2017-08-03	2017-02-10	2018-01-25
WLL	-0.72	-0.777	2017-07-26	2017-02-02	2018-01-17
WLTW	0.24	1.499	2017-08-03	2017-02-10	2018-01-25
WM	0.82	0.813	2017-07-26	2017-02-02	2018-01-17
WMB	0.1	0.194	2017-08-02	2017-02-09	2018-01-24
WMT	1.21	1.018	2016-08-18	2016-02-29	2017-02-09
WP	0.43	0.824	2017-08-09	2017-02-16	2018-01-31
WPC	0.6	0.57	2017-08-04	2017-02-13	2018-01-26
WPX	0.18	-0.149	2017-08-02	2017-02-09	2018-01-24
WRB	0.87	0.767	2017-07-25	2017-02-01	2018-01-16
WRI	0.5	0.242	2017-07-27	2017-02-03	2018-01-18
WRK	0.41	0.461	2017-04-26	2016-11-01	2017-10-16
WSM	0.58	0.58	2016-08-24	2016-03-04	2017-02-15
WSO	2.07	2.041	2017-07-25	2017-02-01	2018-01-16
WST	0.53	0.648	2017-07-27	2017-02-03	2018-01-18
WTFC	1.15	0.993	2017-07-18	2017-01-25	2018-01-08
WTM	2.97	1.12	2017-08-04	2017-02-13	2018-01-26
WTR	0.34	0.34	2017-08-02	2017-02-09	2018-01-24
WU	0.35	0.417	2017-08-03	2017-02-10	2018-01-25
WY	0.03	0.273	2017-07-28	2017-02-06	2018-01-19
WYND	0.82	1.495	2017-08-02	2017-02-09	2018-01-24
WYNN	0.73	1.175	2017-07-25	2017-02-01	2018-01-16
X	1.49	0.358	2017-07-25	2017-02-01	2018-01-16
XEC	1.02	0.948	2017-08-08	2017-02-15	2018-01-30
XEL	0.45	0.419	2017-07-27	2017-02-03	2018-01-18
XLNX	0.65	0.546	2016-10-19	2016-04-29	2017-04-12
XOG	0.02	-0.048	2017-08-09	2017-02-16	2018-01-31
XOM	0.78	0.843	2017-07-28	2017-02-06	2018-01-19
XPO	0.43	0.604	2017-08-02	2017-02-09	2018-01-24
XRAY	-4.58	0.652	2017-08-09	2017-02-16	2018-01-31
XRX	0.64	0.798	2017-08-01	2017-02-08	2018-01-23
XYL	0.55	0.569	2017-08-01	2017-02-08	2018-01-23
Y	6.6	7.95	2017-08-03	2017-02-10	2018-01-25
YUM	0.59	0.619	2017-08-03	2017-02-10	2018-01-25
YUMC	0.32	0.274	2017-07-05	2017-01-11	2017-12-22
ZAYO	0.08	0.08	2017-02-09	2016-08-18	2017-08-02
ZBH	0.91	2.085	2017-07-27	2017-02-03	2018-01-18
ZBRA	0.33	1.48	2017-08-08	2017-02-15	2018-01-30
ZEN	-0.26	-0.055	2017-08-03	2017-02-10	2018-01-25
ZG	-0.12	-0.01	2017-08-08	2017-02-15	2018-01-30
ZION	0.76	0.621	2017-07-25	2017-02-01	2018-01-16
ZNGA	0.01	0.018	2017-08-02	2017-02-09	2018-01-24
ZTS	0.5	0.527	2017-08-08	2017-02-15	2018-01-30
