Ticket	adjusted eps	Bloomberg Estimated EPS	Announcement Date	start_date	end_date
COO	2.64	2.25	2017-06-01	2016-12-07	2017-11-20
COP	0.14	-0.018	2017-07-27	2017-02-03	2018-01-18
COR	0.4594	0.443	2017-07-27	2017-02-03	2018-01-18
COST	1.4012	1.351	2017-03-02	2016-09-08	2017-08-22
COTY	0	0.34	2017-02-09	2016-08-18	2017-08-02
CPA	1.48	1.443	2017-08-09	2017-02-16	2018-01-31
CPB	0.52	0.879	2017-02-17	2016-08-26	2017-08-10
CPRT	0.35	0.288	2017-02-21	2016-08-29	2017-08-11
CPT	0.43	0.42	2017-07-27	2017-02-03	2018-01-18
CR	1.17	1.172	2017-07-24	2017-01-31	2018-01-12
CRI	0.79	0.705	2017-07-27	2017-02-03	2018-01-18
CRL	1.29	1.217	2017-08-09	2017-02-16	2018-01-31
CRM	0.0243	0.22	2016-08-31	2016-03-11	2017-02-23
CSCO	0.5277	0.562	2017-02-15	2016-08-24	2017-08-08
CSGP	0.6854	0.626	2017-07-26	2017-02-02	2018-01-17
CSL	1.58	1.598	2017-07-25	2017-02-01	2018-01-16
CSX	0.64	0.591	2017-07-18	2017-01-25	2018-01-08
CTAS	1.25	1.154	2016-12-22	2016-07-05	2017-06-16
CTL	0.46	0.489	2017-08-02	2017-02-09	2018-01-24
CTLT	0.5316	0.262	2017-02-06	2016-08-15	2017-07-28
CTSH	0.7834	0.905	2017-08-03	2017-02-10	2018-01-25
CTXS	0.7073	0.996	2017-08-02	2017-02-09	2018-01-24
CUBE	0.18	0.162	2017-07-27	2017-02-03	2018-01-18
CVS	1.33	1.307	2017-08-08	2017-02-15	2018-01-30
CVX	0.9086	0.873	2017-07-28	2017-02-06	2018-01-19
CW	1.13	0.966	2017-07-26	2017-02-02	2018-01-17
CXO	0.52	0.428	2017-08-02	2017-02-09	2018-01-24
CXP	0.0093	-0.01	2017-07-27	2017-02-03	2018-01-18
CY	-0.0625	0.163	2017-07-27	2017-02-03	2018-01-18
CZR	-1.5288	0.235	2017-08-03	2017-02-10	2018-01-25
D	0.67	0.667	2017-08-02	2017-02-09	2018-01-24
DAL	1.64	1.655	2017-07-13	2017-01-20	2018-01-03
DATA	-0.5416	-0.05	2017-08-02	2017-02-09	2018-01-24
DCI	0.51	0.314	2017-03-01	2016-09-07	2017-08-21
DE	1.7927	1.627	2017-05-19	2016-11-25	2017-11-08
DEI	0.129	0.133	2017-08-01	2017-02-08	2018-01-23
DFS	1.4037	1.443	2017-07-26	2017-02-02	2018-01-17
DG	1.0953	1.09	2016-08-25	2016-03-07	2017-02-16
DHI	0.76	0.591	2017-04-20	2016-10-26	2017-10-10
DHR	0.99	0.969	2017-07-20	2017-01-27	2018-01-10
DIS	1.58	1.411	2017-05-09	2016-11-14	2017-10-27
DISCA	0.68	0.721	2017-07-31	2017-02-07	2018-01-22
DISCK	0.68	0.721	2017-07-31	2017-02-07	2018-01-22
DISH	0.4975	0.745	2017-08-03	2017-02-10	2018-01-25
DKS	0.96	0.687	2016-08-16	2016-02-25	2017-02-07
DLB	0.7296	0.663	2017-04-26	2016-11-01	2017-10-16
DLR	0.4454	0.394	2017-07-27	2017-02-03	2018-01-18
DLTR	0.99	0.733	2016-08-25	2016-03-07	2017-02-16
DNB	1.4	1.164	2017-08-02	2017-02-09	2018-01-24
DNKN	0.64	0.623	2017-07-27	2017-02-03	2018-01-18
DOV	1.04	1.007	2017-07-20	2017-01-27	2018-01-10
DOX	0.8093	0.936	2017-05-09	2016-11-14	2017-10-27
DPZ	1.3228	1.231	2017-07-25	2017-02-01	2018-01-16
DRE	3.2707	0.094	2017-07-26	2017-02-02	2018-01-17
DRI	1.18	0.635	2016-12-20	2016-06-30	2017-06-14
DTE	1.07	0.999	2017-07-26	2017-02-02	2018-01-17
DUK	1.01	1.014	2017-08-03	2017-02-10	2018-01-25
DVA	0.92	0.902	2017-08-01	2017-02-08	2018-01-23
DVN	0.34	0.327	2017-08-01	2017-02-08	2018-01-23
DXC	1.59	0.61	2017-11-07	2017-05-18	2018-05-02
DXCM	-0.16	-0.217	2017-08-01	2017-02-08	2018-01-23
EA	2.0596	0.433	2016-11-01	2016-05-12	2017-04-26
EBAY	0.308	0.446	2017-07-20	2017-01-27	2018-01-10
ECL	1.13	1.125	2017-08-01	2017-02-08	2018-01-23
ED	0.58	0.62	2017-08-03	2017-02-10	2018-01-25
EEFT	1.0982	1.067	2017-07-25	2017-02-01	2018-01-16
EFX	1.6	1.57	2017-07-26	2017-02-02	2018-01-17
EHC	0.71	0.675	2017-07-31	2017-02-07	2018-01-22
EIX	0.85	0.915	2017-07-27	2017-02-03	2018-01-18
EL	0.51	1.172	2017-02-02	2016-08-11	2017-07-26
EMN	1.98	1.905	2017-07-27	2017-02-03	2018-01-18
EMR	0.68	0.581	2017-05-02	2016-11-07	2017-10-20
ENR	0.43	0.339	2017-05-03	2016-11-08	2017-10-23
EOG	0.08	0.121	2017-08-01	2017-02-08	2018-01-23
EPAM	0.685	0.813	2017-08-03	2017-02-10	2018-01-25
EPR	0.8873	0.76	2017-08-03	2017-02-10	2018-01-25
EQC	0.1574	0.051	2017-07-24	2017-01-31	2018-01-12
EQIX	0.9382	0.919	2017-08-02	2017-02-09	2018-01-24
EQR	0.3023	0.316	2017-07-25	2017-02-01	2018-01-16
