Ticket	adjusted eps	Bloomberg Estimated EPS	Announcement Date	start_date	end_date
VC	1.38	1.268	2017-07-27	2017-02-03	2018-01-18
VEEV	0.2466	0.13	2016-08-30	2016-03-10	2017-02-22
VER	0.0249	0.02	2017-08-03	2017-02-10	2018-01-25
VFC	0.29	0.284	2017-07-24	2017-01-31	2018-01-12
VIA	1.17	0.599	2017-05-04	2016-11-09	2017-10-24
VIAB	1.17	0.599	2017-05-04	2016-11-09	2017-10-24
VIRT	0.13	0.167	2017-08-08	2017-02-15	2018-01-30
VLO	1.23	1.444	2017-07-27	2017-02-03	2018-01-18
VMC	0.9	1.201	2017-08-02	2017-02-09	2018-01-24
VMI	2.01	1.952	2017-07-19	2017-01-26	2018-01-09
VNO	0.61	0.466	2017-07-31	2017-02-07	2018-01-22
VRSK	0.82	0.769	2017-08-01	2017-02-08	2018-01-23
VRSN	0.9358	0.993	2017-07-27	2017-02-03	2018-01-18
VRTX	0.0806	0.353	2017-07-26	2017-02-02	2018-01-17
VSM	0.52	0.43	2017-05-02	2016-11-07	2017-10-20
VST	0.0623	0.06	2017-08-04	2017-02-13	2018-01-26
VTR	0.4419	0.448	2017-07-28	2017-02-06	2018-01-19
VVV	0.34	0.333	2017-04-25	2016-10-31	2017-10-13
VZ	0.96	0.96	2017-07-27	2017-02-03	2018-01-18
W	-0.4483	-0.462	2017-08-08	2017-02-15	2018-01-30
WAB	0.8023	0.939	2017-07-25	2017-02-01	2018-01-16
WAL	0.7613	0.726	2017-07-20	2017-01-27	2018-01-10
WAT	1.76	1.709	2017-07-25	2017-02-01	2018-01-16
WBA	1.33	1.359	2017-04-05	2016-10-12	2017-09-26
WBC	1.69	1.536	2017-07-20	2017-01-27	2018-01-10
WBS	0.6431	0.605	2017-07-21	2017-01-30	2018-01-11
WBT	0.22	0.183	2017-08-09	2017-02-16	2018-01-31
WCC	1.0143	0.974	2017-07-27	2017-02-03	2018-01-18
WCG	2.52	2.238	2017-08-04	2017-02-13	2018-01-26
WDAY	-0.3505	-0.02	2016-08-24	2016-03-04	2017-02-15
WDC	1.2887	2.124	2017-01-25	2016-08-03	2017-07-18
WEC	0.6273	0.584	2017-07-26	2017-02-02	2018-01-17
WELL	0.4754	0.455	2017-07-28	2017-02-06	2018-01-19
WEN	0.15	0.131	2017-08-09	2017-02-16	2018-01-31
WEX	0.5562	1.245	2017-07-27	2017-02-03	2018-01-18
WFC	1.0479	1.009	2017-07-14	2017-01-23	2018-01-04
WFT	-0.28	-0.284	2017-07-28	2017-02-06	2018-01-19
WHR	3.35	3.536	2017-07-26	2017-02-02	2018-01-17
WLK	1.2103	1.237	2017-08-03	2017-02-10	2018-01-25
WLL	-0.72	-0.777	2017-07-26	2017-02-02	2018-01-17
WLTW	1.45	1.499	2017-08-03	2017-02-10	2018-01-25
WM	0.8219	0.813	2017-07-26	2017-02-02	2018-01-17
WMB	0.13	0.194	2017-08-02	2017-02-09	2018-01-24
WMT	1.08	1.018	2016-08-18	2016-02-29	2017-02-09
WP	0.2955	0.824	2017-08-09	2017-02-16	2018-01-31
WPC	0.6362	0.57	2017-08-04	2017-02-13	2018-01-26
WPX	-0.14	-0.149	2017-08-02	2017-02-09	2018-01-24
WRB	0.6784	0.767	2017-07-25	2017-02-01	2018-01-16
WRI	0.2468	0.242	2017-07-27	2017-02-03	2018-01-18
WRK	0.74	0.461	2017-04-26	2016-11-01	2017-10-16
WSM	0.61	0.58	2016-08-24	2016-03-04	2017-02-15
WSO	2.0658	2.041	2017-07-25	2017-02-01	2018-01-16
WST	0.66	0.648	2017-07-27	2017-02-03	2018-01-18
WTFC	1.1106	0.993	2017-07-18	2017-01-25	2018-01-08
WTM	-4.6596	1.12	2017-08-04	2017-02-13	2018-01-26
WTR	0.3424	0.34	2017-08-02	2017-02-09	2018-01-24
WU	0.5	0.417	2017-08-03	2017-02-10	2018-01-25
WY	0.28	0.273	2017-07-28	2017-02-06	2018-01-19
WYND	1.53	1.495	2017-08-02	2017-02-09	2018-01-24
WYNN	1.18	1.175	2017-07-25	2017-02-01	2018-01-16
X	1.07	0.358	2017-07-25	2017-02-01	2018-01-16
XEC	1.06	0.948	2017-08-08	2017-02-15	2018-01-30
XEL	0.4464	0.419	2017-07-27	2017-02-03	2018-01-18
XLNX	0.63	0.546	2016-10-19	2016-04-29	2017-04-12
XOG	-0.0866	-0.048	2017-08-09	2017-02-16	2018-01-31
XOM	0.7844	0.843	2017-07-28	2017-02-06	2018-01-19
XPO	0.6	0.604	2017-08-02	2017-02-09	2018-01-24
XRAY	0.65	0.652	2017-08-09	2017-02-16	2018-01-31
XRX	0.87	0.798	2017-08-01	2017-02-08	2018-01-23
XYL	0.59	0.569	2017-08-01	2017-02-08	2018-01-23
Y	6.37	7.95	2017-08-03	2017-02-10	2018-01-25
YUM	0.68	0.619	2017-08-03	2017-02-10	2018-01-25
YUMC	0.27	0.274	2017-07-05	2017-01-11	2017-12-22
ZAYO	0.1011	0.08	2017-02-09	2016-08-18	2017-08-02
ZBH	2.08	2.085	2017-07-27	2017-02-03	2018-01-18
ZBRA	0.5647	1.48	2017-08-08	2017-02-15	2018-01-30
ZEN	-0.2856	-0.055	2017-08-03	2017-02-10	2018-01-25
ZG	-0.1141	-0.01	2017-08-08	2017-02-15	2018-01-30
ZION	0.73	0.621	2017-07-25	2017-02-01	2018-01-16
ZNGA	0.0041	0.018	2017-08-02	2017-02-09	2018-01-24
ZTS	0.53	0.527	2017-08-08	2017-02-15	2018-01-30
